Post_Link,Posted_Title,Posted_Date,Brand,Model,Grade,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Vehicle_Price
https://ikman.lk/en/ad/honda-vezel-2016-for-sale-jaffna-3,Honda Vezel 2016,"Posted on 17 Nov 2:58 pm, Jaffna City, Jaffna351views",Honda,Vezel,0,0,2016,Used,Automatic,Hatchback,Petrol,2 cc,"140,000 km","Rs 11,000,000"
https://ikman.lk/en/ad/honda-n-box-custom-turbo-2025-for-sale-ampara-10,Honda N-Box Custom Turbo 2025,"Posted on 17 Nov 2:53 pm, Kalmunai, Ampara142views",Honda,N-Box,0,Custom Turbo,2025,Brand New,Automatic,0,Petrol,660 cc,0 km,"Rs 10,275,000"
https://ikman.lk/en/ad/honda-vezel-orange-pack-2015-for-sale-colombo-3,Honda Vezel - Orange Pack 2015,"Posted on 17 Nov 2:00 pm, Mount Lavinia, Colombo256views",Honda,Vezel,0,Vezel - Orange Pack,2015,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc","130,000 km","Rs 11,000,000"
https://ikman.lk/en/ad/honda-fit-gp5-2014-for-sale-colombo-2372,Honda Fit GP5 2014,"Posted on 17 Nov 5:58 pm, Malabe, Colombo172views",Honda,Fit,0,GP5,2014,Used,Automatic,Hatchback,Petrol,"1,490 cc","125,327 km","Rs 8,595,000"
https://ikman.lk/en/ad/honda-fit-l-grade-2014-for-sale-ratnapura-1,Honda Fit L Grade 2014,"Posted on 17 Nov 1:11 pm, Kahawatta, Ratnapura206views",Honda,Fit,0,L Grade,2014,Used,Automatic,Hatchback,Petrol,"1,500 cc","160,000 km","Rs 7,675,000"
https://ikman.lk/en/ad/honda-crv-vtil-7-australian-2025-for-sale-colombo-1,Honda CRV VTIL-7 AUSTRALIAN 2025,"Posted on 19 Nov 11:54 am, Kohuwala, Colombo191views",Honda,CRV,0,VTIL-7 AUSTRALIAN ,2025,Brand New,Automatic,Station wagon,Petrol,"1,490 cc",0 km,"Rs 31,990,000"
https://ikman.lk/en/ad/honda-n-box-custom-2025-for-sale-colombo-19,Honda N-Box Custom 2025,"Posted on 17 Nov 11:43 am, Kohuwala, Colombo199views",Honda,N-Box,0,Custom 2025,2025,Brand New,Automatic,MPV,Petrol,660 cc,0 km,"Rs 8,950,000"
https://ikman.lk/en/ad/honda-city-rs-turbo-2025-for-sale-colombo-356,Honda City Rs Turbo 2025,"Posted on 17 Nov 5:29 pm, Athurugiriya, Colombo160views",Honda,City,0,Rs Turbo,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",135 km,"Rs 14,000,006"
https://ikman.lk/en/ad/honda-wr-v-x-grade-2025-for-sale-gampaha-17,Honda WR-V X GRADE 2025,"Posted on 17 Nov 11:25 am, Nittambuwa, Gampaha436views",Honda,WR-V,0,X GRADE,2025,Brand New,Automatic,SUV / 4x4,Petrol,"1,500 cc",0 km,"Rs 16,400,000"
https://ikman.lk/en/ad/honda-n-box-super-custom-2024-for-sale-colombo-17,Honda N-Box Super Custom 2024,"Posted on 18 Nov 10:19 am, Dehiwala, Colombo80views",Honda,N-Box,0,Super Custom ,2024,Brand New,Automatic,Hatchback,Petrol,660 cc,100 km,"Rs 9,850,000"
https://ikman.lk/en/ad/honda-city-rs-2025-for-sale-gampaha-47,Honda City RS 2025,"Posted on 17 Nov 10:48 am, Nittambuwa, Gampaha102views",Honda,City,0,RS,2025,Brand New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,200,000"
